Symbol,Imbalance Side,Imbalance Size,Imbalance Reference Price,moc_date
ABX,BUY,338564,27.485,20200325
ACB,BUY,161161,1.085,20200325
ACQ,BUY,497,5.475,20200325
AD,BUY,17380,8.185,20200325
AEM,BUY,21053,59.595,20200325
AGF.B,BUY,9360,3.285,20200325
AGI,BUY,29308,8.385,20200325
AI,BUY,8,8.535,20200325
AIF,BUY,1712,38.045,20200325
AKG,BUY,100,1.255,20200325
ALA,BUY,28737,12.94,20200325
ALO,BUY,1000,0.775,20200325
AND,BUY,135,21.32,20200325
APHA,BUY,38060,4.175,20200325
APR.UN,BUY,153,7.585,20200325
AQN,BUY,140390,17.255,20200325
AR,BUY,1555,1.135,20200325
ARE,BUY,9570,13.02,20200325
ASR,BUY,34570,4.995,20200325
ATD.B,BUY,31266,34.455,20200325
ATP,BUY,400,3.03,20200325
ATZ,BUY,3351,12.85,20200325
AUP,BUY,4829,20.475,20200325
BAD,BUY,6534,22.87,20200325
BAM.A,BUY,103996,62.73,20200325
BB,BUY,37841,5.555,20200325
BBD.B,BUY,168871,0.505,20200325
BDI,BUY,100,1.08,20200325
BEP.UN,BUY,6378,60.0,20200325
BHC,BUY,15926,22.675,20200325
BIP.UN,BUY,19530,55.895,20200325
BL.UN,BUY,100,9.04,20200325
BLDP,BUY,16219,12.14,20200325
BLX,BUY,9896,24.665,20200325
BMO,BUY,163611,70.445,20200325
BNS,BUY,99352,58.095,20200325
BPY.UN,BUY,29739,12.76,20200325
BRE,BUY,100,7.445,20200325
BTO,BUY,194153,5.175,20200325
BYD,BUY,1195,162.525,20200325
CAE,BUY,6228,19.56,20200325
CAR.UN,BUY,46196,42.415,20200325
CAS,BUY,7209,11.92,20200325
CCA,BUY,413,92.49,20200325
CCO,BUY,53356,9.365,20200325
CEF,BUY,200,21.075,20200325
CEU,BUY,25586,0.655,20200325
CF,BUY,18495,4.085,20200325
CFP,BUY,12086,7.4,20200325
CG,BUY,69278,9.21,20200325
CHR,BUY,5608,3.665,20200325
CIA,BUY,100,1.505,20200325
CIX,BUY,1908,13.44,20200325
CJ,BUY,100,0.423,20200325
CJR.B,BUY,670,2.575,20200325
CJT,BUY,1557,99.09,20200325
CM,BUY,252195,82.735,20200325
CM.PR.O,BUY,300,11.925,20200325
CM.PR.P,BUY,500,11.535,20200325
CM.PR.Q,BUY,400,11.695,20200325
CM.PR.R,BUY,600,14.43,20200325
CM.PR.S,BUY,600,12.575,20200325
CM.PR.T,BUY,300,15.975,20200325
CM.PR.Y,BUY,200,16.725,20200325
CNE,BUY,21137,3.685,20200325
CNQ,BUY,224574,14.565,20200325
CNR,BUY,90664,107.89,20200325
CP,BUY,14444,304.635,20200325
CPG,BUY,121714,1.075,20200325
CRDL,BUY,100,2.355,20200325
CRH,BUY,300,1.96,20200325
CRON,BUY,37230,8.175,20200325
CSH.UN,BUY,66302,9.13,20200325
