Symbol,Imbalance Side,Imbalance Size,Imbalance Reference Price,moc_date
ACB,BUY,216843,1.465,20200327
ACI,BUY,2120,33.405,20200327
ACO.X,BUY,17003,35.14,20200327
AGF.B,BUY,2960,2.705,20200327
AIF,BUY,447,37.02,20200327
AKG,BUY,5700,1.17,20200327
AP.UN,BUY,43815,44.49,20200327
APHA,BUY,48241,4.615,20200327
APS,BUY,70,8.495,20200327
AQN,BUY,67135,17.58,20200327
ARE,BUY,10624,12.78,20200327
AUG,BUY,4837,1.38,20200327
AX.UN,BUY,11484,7.695,20200327
AXU,BUY,1220,1.745,20200327
BAD,BUY,753,21.785,20200327
BAM.A,BUY,41532,59.855,20200327
BB,BUY,67127,5.335,20200327
BBD.B,BUY,2311927,0.45299999999999996,20200327
BCE.PR.F,BUY,300,11.865,20200327
BDT,BUY,98,4.5,20200327
BEI.UN,BUY,12889,21.715,20200327
BEP.PR.G,BUY,1000,19.265,20200327
BL.UN,BUY,100,9.26,20200327
BMO,BUY,186901,67.02,20200327
BNS,BUY,15827,54.905,20200327
BPF.UN,BUY,700,6.36,20200327
BPY.UN,BUY,4177,12.445,20200327
BTB.UN,BUY,700,3.13,20200327
BTE,BUY,8274,0.293,20200327
CAR.UN,BUY,18960,42.155,20200327
CDAY,BUY,5,68.8,20200327
CEF,BUY,200,20.71,20200327
CF,BUY,8862,4.005,20200327
CFX,BUY,1081,4.27,20200327
CGO,BUY,608,81.665,20200327
CHP.UN,BUY,8551,12.015,20200327
CHR,BUY,24155,3.355,20200327
CM,BUY,18960,78.325,20200327
CPX,BUY,8281,25.61,20200327
CPX.PR.I,BUY,3000,21.86,20200327
CRDL,BUY,100,2.98,20200327
CRON,BUY,54013,8.925,20200327
CRR.UN,BUY,5671,12.325,20200327
CRT.UN,BUY,6209,11.51,20200327
CSH.UN,BUY,11290,8.585,20200327
CTC.A,BUY,11396,86.955,20200327
CU,BUY,25838,32.015,20200327
CUF.UN,BUY,17452,9.255,20200327
CWB,BUY,8751,17.57,20200327
CWEB,BUY,6685,6.355,20200327
CWX,BUY,93,3.395,20200327
D.UN,BUY,17242,22.74,20200327
DCBO,BUY,3000,13.195,20200327
DIR.UN,BUY,22859,9.005,20200327
DIV,BUY,9721,1.565,20200327
DOL,BUY,50559,39.665,20200327
DOO,BUY,7155,23.78,20200327
DPM,BUY,68661,4.465,20200327
DRM,BUY,4118,9.4,20200327
EF.UN,BUY,100,6.36,20200327
EFR,BUY,100,1.425,20200327
EGLX,BUY,10100,1.585,20200327
EIF,BUY,3685,19.815,20200327
EIT.UN,BUY,200,6.76,20200327
ELF,BUY,100,612.5,20200327
EMP.A,BUY,29920,27.26,20200327
ENGH,BUY,8338,42.575,20200327
ET,BUY,3100,11.92,20200327
ETG,BUY,554,0.243,20200327
FCR.UN,BUY,12652,13.635,20200327
FFH,BUY,4859,415.79,20200327
FN,BUY,68,25.65,20200327
FOOD,BUY,100,3.12,20200327
FRU,BUY,335,2.575,20200327
FSZ,BUY,8068,6.73,20200327
FTG,BUY,100,1.865,20200327
FTN,BUY,600,4.53,20200327
FTT,BUY,4101,14.345,20200327
GCM,BUY,54,4.11,20200327
GDG.UN,BUY,100,10.4,20200327
GEI,BUY,22579,15.43,20200327
GH,BUY,100,4.145,20200327
GIB.A,BUY,539,70.495,20200327
GMP,BUY,100,1.355,20200327
GOOS,BUY,3462,28.395,20200327
GRT.UN,BUY,522,55.045,20200327
GSC,BUY,100,3.625,20200327
GSY,BUY,914,33.06,20200327
HRX,BUY,100,9.95,20200327
IFP,BUY,6230,6.25,20200327
IGM,BUY,11708,23.005,20200327
IIP.UN,BUY,10997,13.485,20200327
INE,BUY,24886,18.895,20200327
IVN,BUY,3831,2.255,20200327
K,BUY,34823,5.845,20200327
KEY,BUY,71471,12.2,20200327
KMP.UN,BUY,4644,15.815,20200327
LAS.A,BUY,300,120.995,20200327
LB,BUY,3305,30.21,20200327
LUG,BUY,1035,7.93,20200327
