Symbol,Imbalance Side,Imbalance Size,Imbalance Reference Price,moc_date
CFP,BUY,13754,6.945,20200324
CFX,BUY,200,4.505,20200324
CG,BUY,35217,8.575,20200324
CGX,BUY,9554,12.11,20200324
CHE.UN,BUY,15417,3.68,20200324
CHR,BUY,9997,2.655,20200324
CJR.B,BUY,18277,2.105,20200324
CJT,BUY,1462,96.695,20200324
CLS,BUY,27584,4.285,20200324
CM,BUY,195788,73.955,20200324
CNQ,BUY,507850,13.555,20200324
CNR,BUY,86393,107.125,20200324
CP,BUY,28084,293.58,20200324
CPG,BUY,70462,0.915,20200324
CPX,BUY,19393,22.51,20200324
CRON,BUY,67292,7.885,20200324
CRR.UN,BUY,20199,10.52,20200324
CSH.UN,BUY,283165,7.57,20200324
CSU,BUY,3605,1234.965,20200324
CTC.A,BUY,8777,82.49,20200324
CU,BUY,66371,27.185,20200324
CVE,BUY,102431,2.585,20200324
CWB,BUY,10673,17.275,20200324
DCBO,BUY,1612,12.025,20200324
DIR.UN,BUY,28442,7.865,20200324
DIV,BUY,1400,1.355,20200324
DOL,BUY,94466,37.24,20200324
DOO,BUY,6684,20.275,20200324
DPM,BUY,32636,4.995,20200324
DRM,BUY,891,7.975,20200324
DSG,BUY,13613,45.55,20200324
ECN,BUY,26120,3.45,20200324
EFN,BUY,73554,8.305,20200324
EFR,BUY,500,1.385,20200324
EFX,BUY,22607,5.435,20200324
EGLX,BUY,20000,1.27,20200324
EIF,BUY,3763,16.305,20200324
EIT.UN,BUY,200,5.945,20200324
ELD,BUY,40766,9.12,20200324
EMA,BUY,87391,45.605,20200324
EMP.A,BUY,9652,26.775,20200324
ENB,BUY,442361,38.605,20200324
ENGH,BUY,5146,39.065,20200324
EQB,BUY,5686,49.045,20200324
ERF,BUY,75010,1.985,20200324
ERO,BUY,19710,11.24,20200324
ESI,BUY,2551,0.308,20200324
ET,BUY,83,10.725,20200324
EXE,BUY,3320,5.295,20200324
FCR.UN,BUY,493325,11.66,20200324
FEC,BUY,11933,3.3,20200324
FFH,BUY,8698,413.405,20200324
FM,BUY,287331,7.045,20200324
FN,BUY,3841,21.305,20200324
FNV,BUY,79417,159.35,20200324
FOOD,BUY,100,2.94,20200324
FR,BUY,97206,10.42,20200324
FRU,BUY,54962,2.835,20200324
FSV,BUY,9659,98.87,20200324
FTG,BUY,100,1.53,20200324
FTS,BUY,167143,45.66,20200324
FTT,BUY,5424,14.23,20200324
GC,BUY,6465,19.405,20200324
GCM,BUY,1988,4.005,20200324
GEI,BUY,7729,15.84,20200324
GH,BUY,100,3.64,20200324
GIB.A,BUY,19623,70.635,20200324
GIL,BUY,66905,16.35,20200324
GOLD,BUY,100,1.395,20200324
GOOS,BUY,17609,27.025,20200324
GSC,BUY,3060,3.915,20200324
GSY,BUY,950,28.735,20200324
GTE,BUY,460,0.308,20200324
GUD,BUY,41727,5.355,20200324
GWO,BUY,139391,21.845,20200324
H,BUY,29178,23.04,20200324
HBM,BUY,5645,2.445,20200324
HCG,BUY,30310,15.93,20200324
HEXO,BUY,158196,0.945,20200324
HLF,BUY,100,5.63,20200324
HLS,BUY,288,18.1,20200324
HOM.U,BUY,3342,7.915,20200324
HR.UN,BUY,150473,8.095,20200324
HSE,BUY,319851,3.095,20200324
IFC,BUY,33953,114.32,20200324
IFP,BUY,13885,5.605,20200324
IMG,BUY,83798,3.365,20200324
IMO,BUY,69371,13.925,20200324
IMV,BUY,100,2.125,20200324
INE,BUY,48272,15.515,20200324
INO.UN,BUY,900,4.405,20200324
IPL,BUY,78380,8.265,20200324
IVN,BUY,44551,2.415,20200324
IVQ.U,BUY,600,2.32,20200324
JE,BUY,205,0.565,20200324
JWEL,BUY,8376,25.245,20200324
K,BUY,407616,6.545,20200324
KBL,BUY,18,27.03,20200324
KEL,BUY,6911,0.875,20200324
KEY,BUY,166863,13.29,20200324
KL,BUY,96324,45.495,20200324
KXS,BUY,5111,100.71,20200324
L,BUY,43943,63.125,20200324
LABS,BUY,8605,2.145,20200324
LB,BUY,10983,28.32,20200324
LIF,BUY,6652,15.24,20200324
LNR,BUY,5216,26.845,20200324
LSPD,BUY,21298,15.205,20200324
LUG,BUY,3223,8.41,20200324
LUN,BUY,273950,5.025,20200324
MAG,BUY,7890,13.4,20200324
MAL,BUY,200,5.33,20200324
MAXR,BUY,6113,13.415,20200324
MBN,BUY,200,5.37,20200324
MDF,BUY,100,2.475,20200324
MDI,BUY,5589,2.43,20200324
MEG,BUY,82760,1.485,20200324
MFC,BUY,358525,15.325,20200324
MFI,BUY,18314,21.235,20200324
MG,BUY,99244,41.43,20200324
MI.UN,BUY,369086,18.34,20200324
MIC,BUY,5680,26.42,20200324
MPVD,BUY,9500,0.375,20200324
MRU,BUY,17168,54.98,20200324
MSI,BUY,22384,25.535,20200324
MTL,BUY,25858,4.12,20200324
MTY,BUY,1954,19.345,20200324
MX,BUY,13294,16.69,20200324
,BUY,463400,45.0,20200324
NG,BUY,64296,11.59,20200324
NGD,BUY,25789,0.815,20200324
NOA,BUY,617,7.24,20200324
NPI,BUY,116330,22.57,20200324
NTR,BUY,238655,41.195,20200324
NVA,BUY,3988,0.428,20200324
NWC,BUY,13739,17.38,20200324
NWH.UN,BUY,16227,7.28,20200324
OGC,BUY,187294,1.255,20200324
OGI,BUY,19004,2.355,20200324
ONC,BUY,200,2.21,20200324
OR,BUY,80223,10.385,20200324
OTEX,BUY,62925,45.9,20200324
OVV,BUY,8176,3.99,20200324
PAAS,BUY,63750,24.62,20200324
PBH,BUY,5370,66.26,20200324
PCD.UN,BUY,200,6.05,20200324
PD,BUY,6044,0.473,20200324
PEY,BUY,1675,1.235,20200324
PKI,BUY,18510,21.525,20200324
PLC,BUY,322,17.98,20200324
PLZ.UN,BUY,300,2.88,20200324
POU,BUY,5678,1.115,20200324
POW,BUY,465238,20.73,20200324
PPL,BUY,424338,27.34,20200324
PRMW,BUY,29548,12.5,20200324
PSI,BUY,33948,7.055,20200324
PSK,BUY,46177,7.275,20200324
PVG,BUY,81415,8.71,20200324
PXT,BUY,15048,10.505,20200324
QBR.B,BUY,26556,28.955,20200324
QSR,BUY,84096,54.965,20200324
RAY.A,BUY,500,3.42,20200324
RBA,BUY,18913,44.54,20200324
RCH,BUY,12085,21.44,20200324
RCI.B,BUY,242766,51.805,20200324
REAL,BUY,20172,11.62,20200324
REI.UN,BUY,18537,14.725,20200324
RNW,BUY,80230,12.31,20200324
RY,BUY,585264,80.385,20200324
SAP,BUY,76487,32.985,20200324
SBB,BUY,100,1.205,20200324
SCL,BUY,26177,1.415,20200324
SEA,BUY,4097,12.75,20200324
SES,BUY,79948,0.895,20200324
SGY,BUY,1800,0.218,20200324
SHOP,BUY,21645,612.885,20200324
SIA,BUY,23071,10.07,20200324
SII,BUY,500,2.37,20200324
SJ,BUY,10638,26.46,20200324
SLF,BUY,276414,39.565,20200324
SMF,BUY,41295,3.175,20200324
SNC,BUY,62844,21.265,20200324
SPB,BUY,123658,6.625,20200324
SRU.UN,BUY,74801,16.12,20200324
SSL,BUY,36330,7.91,20200324
SSRM,BUY,22186,19.13,20200324
STN,BUY,30993,33.815,20200324
SU,BUY,424285,17.275,20200324
SVM,BUY,28044,5.795,20200324
SW,BUY,2639,7.975,20200324
SWP,BUY,100,2.46,20200324
T,BUY,218686,20.195,20200324
TA,BUY,283692,5.875,20200324
TCL.A,BUY,11581,10.1,20200324
TD,BUY,840443,54.865,20200324
TECK.B,BUY,58087,11.415,20200324
TF,BUY,2162,6.095,20200324
TFII,BUY,38599,28.225,20200324
TGOD,BUY,4313,0.303,20200324
TGZ,BUY,12336,7.285,20200324
TIH,BUY,12395,55.775,20200324
TOT,BUY,7279,2.07,20200324
TOU,BUY,193213,7.295,20200324
TOY,BUY,4987,11.53,20200324
TRI,BUY,74097,81.245,20200324
TRIL,BUY,1119,5.225,20200324
TRP,BUY,351105,54.83,20200324
TRQ,BUY,9046,0.53,20200324
TRZ,BUY,100,7.3,20200324
TSGI,BUY,75549,24.64,20200324
TVE,BUY,3124,0.488,20200324
TXG,BUY,21182,15.17,20200324
U,BUY,837,3.44,20200324
UFS,BUY,663,28.205,20200324
VET,BUY,38432,3.295,20200324
VFF,BUY,21611,4.015,20200324
WCN,BUY,51965,108.49,20200324
WCP,BUY,168852,1.025,20200324
WDO,BUY,76254,8.55,20200324
WEED,BUY,42718,18.8,20200324
WFT,BUY,25145,27.46,20200324
WN,BUY,10787,91.97,20200324
WPK,BUY,10162,37.685,20200324
WPM,BUY,208737,40.47,20200324
WPRT,BUY,100,1.225,20200324
WSP,BUY,27826,68.945,20200324
WTE,BUY,26458,13.335,20200324
X,BUY,16775,93.53,20200324
XAU,BUY,100,2.33,20200324
XTC,BUY,186,4.92,20200324
YRI,BUY,367870,4.565,20200324
AAV,SELL,915,1.185,20200324
ABT,SELL,25000,8.11,20200324
AC,SELL,13134,15.245,20200324
ACI,SELL,220,32.765,20200324
AD,SELL,3581,6.63,20200324
AGF.B,SELL,800,2.905,20200324
AIM,SELL,3040,1.86,20200324
AR,SELL,3560,1.145,20200324
ATP,SELL,300,2.875,20200324
AXU,SELL,400,2.075,20200324
BIR,SELL,109621,0.695,20200324
BPF.UN,SELL,300,5.99,20200324
BTB.UN,SELL,400,2.66,20200324
BTE,SELL,188119,0.32299999999999995,20200324
CDAY,SELL,19,71.15,20200324
CEU,SELL,711,0.645,20200324
CF,SELL,2840,3.695,20200324
CGG,SELL,4478,0.595,20200324
CGO,SELL,688,78.025,20200324
CHP.UN,SELL,12708,11.045,20200324
CHW,SELL,100,3.86,20200324
CIA,SELL,100,1.295,20200324
CIGI,SELL,2213,60.675,20200324
CIX,SELL,34810,12.63,20200324
CJ,SELL,500,0.348,20200324
CMG,SELL,730,4.495,20200324
CNE,SELL,4755,3.615,20200324
CRH,SELL,100,1.615,20200324
CRT.UN,SELL,143110,10.495,20200324
CSW.A,SELL,100,13.98,20200324
CUF.UN,SELL,153347,8.085,20200324
CWEB,SELL,4414,5.805,20200324
CWX,SELL,307,2.9,20200324
D.UN,SELL,39958,17.14,20200324
DFN,SELL,600,3.585,20200324
DRT,SELL,466,1.315,20200324
EDR,SELL,100,2.135,20200324
EDV,SELL,12953,23.455,20200324
ELF,SELL,300,507.0,20200324
EQX,SELL,7783,10.33,20200324
FAF,SELL,690,0.413,20200324
FIRE,SELL,1530,0.23,20200324
FSZ,SELL,1609,5.265,20200324
FTN,SELL,1100,3.955,20200324
FVI,SELL,1745,4.125,20200324
GFL,SELL,100,21.085,20200324
GMP,SELL,100,1.145,20200324
GRT.UN,SELL,20879,47.575,20200324
HDI,SELL,200,8.22,20200324
HRX,SELL,100,9.745,20200324
IAG,SELL,8608,35.435,20200324
IGM,SELL,1009,21.545,20200324
III,SELL,100,1.285,20200324
IIP.UN,SELL,146541,12.43,20200324
IPLP,SELL,100,3.665,20200324
ITP,SELL,5547,7.87,20200324
KMP.UN,SELL,60408,14.7,20200324
KOR,SELL,100,1.55,20200324
LAC,SELL,800,3.65,20200324
LGO,SELL,999,0.645,20200324
LNF,SELL,100,10.71,20200324
LUC,SELL,638,0.44799999999999995,20200324
MRE,SELL,13286,6.255,20200324
MRG.UN,SELL,4927,11.56,20200324
MRT.UN,SELL,100,4.34,20200324
NDM,SELL,2414,0.59,20200324
NEPT,SELL,555,1.715,20200324
NFI,SELL,24519,9.82,20200324
NGT,SELL,3519,69.225,20200324
NVU.UN,SELL,86376,31.34,20200324
NXE,SELL,2899,0.935,20200324
OLA,SELL,100,2.255,20200324
ONEX,SELL,21791,45.805,20200324
OSB,SELL,4022,18.475,20200324
OSK,SELL,21534,2.33,20200324
PG,SELL,1567,1.125,20200324
RIV,SELL,1011,0.655,20200324
RNX,SELL,8666,0.308,20200324
ROXG,SELL,4729,0.77,20200324
RSI,SELL,3678,4.19,20200324
RUS,SELL,6153,11.58,20200324
S,SELL,2460,0.09300000000000001,20200324
SIL,SELL,1033,8.64,20200324
SIS,SELL,351,8.065,20200324
SJR.B,SELL,177818,19.24,20200324
SMU.UN,SELL,56066,8.395,20200324
SOT.UN,SELL,600,2.985,20200324
STLC,SELL,1677,4.285,20200324
TCN,SELL,23594,6.025,20200324
TCW,SELL,11049,0.435,20200324
TEV,SELL,100,3.975,20200324
TNT.UN,SELL,3017,4.23,20200324
TOG,SELL,12241,0.525,20200324
TRST,SELL,1167,0.755,20200324
TWM,SELL,4735,0.395,20200324
UNS,SELL,273,5.375,20200324
USA,SELL,1656,2.455,20200324
VB,SELL,100,5.015,20200324
VII,SELL,10215,1.405,20200324
VMD,SELL,700,5.875,20200324
WEF,SELL,565,0.615,20200324
WIR.U,SELL,30456,8.39,20200324
ZZZ,SELL,2367,9.135,20200324
