Symbol,Imbalance Side,Imbalance Size,Imbalance Reference Price,moc_date
ABX,BUY,585006,28.1,20200324
ACB,BUY,583716,1.035,20200324
ACO.X,BUY,28789,31.66,20200324
ACQ,BUY,664,4.925,20200324
ADN,BUY,100,12.825,20200324
AEM,BUY,136223,63.75,20200324
AFN,BUY,3853,17.18,20200324
AGI,BUY,67823,7.82,20200324
AI,BUY,81,7.505,20200324
AIF,BUY,3231,34.905,20200324
ALA,BUY,34649,10.74,20200324
ALS,BUY,944,6.925,20200324
AND,BUY,459,20.565,20200324
AP.UN,BUY,35440,35.52,20200324
APHA,BUY,62486,3.875,20200324
APR.UN,BUY,900,5.815,20200324
APS,BUY,100,8.14,20200324
AQN,BUY,304910,15.045,20200324
ARE,BUY,21901,12.4,20200324
ARX,BUY,117076,3.145,20200324
ASR,BUY,54561,4.545,20200324
ATA,BUY,5351,14.45,20200324
ATD.B,BUY,162574,33.89,20200324
ATZ,BUY,25987,11.525,20200324
AUG,BUY,100,1.25,20200324
AUP,BUY,4600,19.365,20200324
AX.UN,BUY,54243,5.995,20200324
BAD,BUY,4868,20.955,20200324
BAM.A,BUY,239106,55.985,20200324
BB,BUY,270390,5.165,20200324
BBD.B,BUY,1022214,0.44,20200324
BBU.UN,BUY,10210,30.385,20200324
BCE,BUY,336618,50.0,20200324
BDT,BUY,100,4.68,20200324
BEI.UN,BUY,70591,18.37,20200324
BEP.UN,BUY,31493,51.435,20200324
BHC,BUY,32843,21.43,20200324
BIP.UN,BUY,59059,47.215,20200324
BL.UN,BUY,100,8.76,20200324
BLDP,BUY,74585,11.935,20200324
BLU,BUY,659,14.765,20200324
BLX,BUY,32190,21.26,20200324
BMO,BUY,515939,62.58,20200324
BNS,BUY,448121,51.75,20200324
BPY.UN,BUY,85222,11.215,20200324
BTO,BUY,348474,4.795,20200324
BYD,BUY,6885,145.185,20200324
CAE,BUY,79400,16.91,20200324
CAR.UN,BUY,42471,40.075,20200324
CAS,BUY,9514,11.855,20200324
CCA,BUY,1093,92.83,20200324
CCL.B,BUY,77323,37.77,20200324
CCO,BUY,2284,9.665,20200324
