Symbol,Imbalance Side,Imbalance Size,Imbalance Reference Price,moc_date
AAV,BUY,104728,1.415,20200331
ABX,BUY,261824,26.185,20200331
ACI,BUY,224572,33.495,20200331
ACO.X,BUY,35352,38.55,20200331
ACQ,BUY,641,5.27,20200331
AD,BUY,11191,8.14,20200331
AEM,BUY,119026,55.635,20200331
AFN,BUY,35610,16.75,20200331
AGF.B,BUY,21467,2.995,20200331
AGI,BUY,79840,7.065,20200331
AIF,BUY,9802,36.645,20200331
AIM,BUY,14073,2.115,20200331
AKG,BUY,652,1.125,20200331
ALA,BUY,117997,12.67,20200331
ALEF,BUY,1275,0.40299999999999997,20200331
AP.UN,BUY,60354,43.83,20200331
AQN,BUY,351876,18.855,20200331
AR,BUY,19175,1.045,20200331
ATA,BUY,36521,16.28,20200331
ATD.B,BUY,98558,33.45,20200331
ATP,BUY,13000,2.98,20200331
AUP,BUY,8952,20.1,20200331
AW.UN,BUY,462,24.115,20200331
AX.UN,BUY,149476,7.885,20200331
AXU,BUY,1600,1.705,20200331
BAD,BUY,24960,22.5,20200331
BAM.A,BUY,127832,62.085,20200331
BAM.PR.R,BUY,9198,11.43,20200331
BB,BUY,139012,5.775,20200331
BBD.B,BUY,1863562,0.43799999999999994,20200331
BCE,BUY,194392,57.235,20200331
BCE.PR.H,BUY,9571,10.89,20200331
BCE.PR.K,BUY,9097,11.365,20200331
BDI,BUY,100,1.07,20200331
BDT,BUY,200,4.55,20200331
BHC,BUY,57349,21.97,20200331
BIP.UN,BUY,68448,51.575,20200331
BL.UN,BUY,100,9.34,20200331
BLDP,BUY,18387,10.565,20200331
BLU,BUY,683,14.045,20200331
BLX,BUY,70244,24.945,20200331
BMO,BUY,273651,70.255,20200331
BNS,BUY,608154,56.385,20200331
BOS,BUY,829,7.925,20200331
BPY.UN,BUY,7638,11.34,20200331
BRE,BUY,1212,8.0,20200331
BRF.PR.A,BUY,10000,11.58,20200331
BTE,BUY,74685,0.32799999999999996,20200331
CAR.UN,BUY,23924,41.885,20200331
