Symbol,Imbalance Side,Imbalance Size,Imbalance Reference Price,moc_date
ABX,BUY,280722,27.22,20200326
ACB,BUY,136055,1.285,20200326
ACI,BUY,968,33.39,20200326
ACQ,BUY,109,5.97,20200326
ADW.A,BUY,20,7.17,20200326
AEM,BUY,77063,57.5,20200326
AGF.B,BUY,200,3.125,20200326
AI,BUY,62,8.83,20200326
AIF,BUY,1973,37.935,20200326
AIM,BUY,1139,2.105,20200326
AKG,BUY,5800,1.255,20200326
AND,BUY,427,23.745,20200326
AP.UN,BUY,38734,43.705,20200326
APHA,BUY,103741,4.545,20200326
APR.UN,BUY,205,7.19,20200326
AQN,BUY,167603,17.805,20200326
AR,BUY,3124,1.055,20200326
ARE,BUY,7028,12.81,20200326
ATD.B,BUY,233880,33.89,20200326
ATP,BUY,2500,2.91,20200326
ATZ,BUY,5681,13.01,20200326
AUG,BUY,100,1.46,20200326
AX.UN,BUY,9099,7.485,20200326
BAM.A,BUY,169206,60.875,20200326
BB,BUY,81130,5.415,20200326
BBD.B,BUY,848741,0.505,20200326
BBU.UN,BUY,828,35.32,20200326
BCE,BUY,54542,54.165,20200326
BDT,BUY,50,4.725,20200326
BHC,BUY,54536,21.76,20200326
BIP.UN,BUY,8509,54.575,20200326
BLDP,BUY,2376,11.445,20200326
BLX,BUY,27521,24.86,20200326
BMO,BUY,87918,68.685,20200326
BNS,BUY,88960,57.0,20200326
BPF.UN,BUY,200,6.905,20200326
BPY.UN,BUY,44746,13.385,20200326
BTB.UN,BUY,600,3.095,20200326
BTE,BUY,71381,0.32799999999999996,20200326
BYD,BUY,1392,158.52,20200326
CAE,BUY,7247,19.03,20200326
CAR.UN,BUY,18944,42.25,20200326
CAS,BUY,983,11.88,20200326
CCL.B,BUY,36612,39.89,20200326
CCO,BUY,65870,9.055,20200326
CF,BUY,9655,4.055,20200326
CFP,BUY,899,7.12,20200326
CFX,BUY,2391,4.575,20200326
CGX,BUY,15762,13.045,20200326
CGY,BUY,2,34.885,20200326
